Country,Year,Status,War,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Libya,2015,Developing,1,72.7,138,1,,0,97,82,64.8,2,97,,97,0.1,,,5.8,5.5,0.719,13.4
Libya,2014,Developing,0,72.4,143,2,0.01,0,94,372,63.8,2,94,4.97,94,0.1,,,5.7,5.5,0.73,13.4
Libya,2013,Developing,0,72.9,134,2,0.01,0,96,0,62.8,2,96,4.33,96,0.1,,,5.7,5.5,0.735,13.4
Libya,2012,Developing,0,72.9,133,2,0.01,0,98,320,61.8,2,98,4.3,98,0.1,,,5.6,5.4,0.706,13.7
Libya,2011,Developing,0,71.3,161,2,0.01,36.11567366,98,0,6.9,2,98,4.77,98,0.1,562.549434,,5.6,5.4,0.756,14
Libya,2010,Developing,0,72.8,132,2,0.01,52.50394196,98,0,59.9,2,98,3.5,98,0.1,1212.56217,,5.6,5.4,0.755,14.3
Libya,2009,Developing,0,72.7,132,2,0.01,63.55170297,98,329,59,2,98,3.16,98,0.1,1296.97353,,5.6,5.4,0.757,14.6
Libya,2008,Developing,0,72.6,132,2,0.01,532.6700005,98,8,58.2,2,98,2.4,98,0.1,14396.4865,,5.5,5.4,0.757,14.8
Libya,2007,Developing,0,72.5,132,2,0.01,54.8789106,98,59,57.4,3,98,2.63,98,0.1,1138.56661,,5.5,5.4,0.756,15.1
Libya,2006,Developing,0,72.2,134,2,0.01,493.415341,98,1,56.7,3,98,2.51,98,0.1,9344.987518,,5.5,5.4,0.752,15.4
Libya,2005,Developing,0,71.9,138,2,0.01,472.3047034,97,292,56,3,98,2.71,98,0.1,8171.361651,,5.5,5.4,0.748,15.7
Libya,2004,Developing,0,71.5,141,2,0.01,31.80653288,99,2771,55.3,3,97,3.46,97,0.1,586.8364,,5.5,5.4,0.747,15.9
Libya,2003,Developing,0,71.3,144,3,0.01,295.1166511,96,0,54.6,3,95,4.6,95,0.1,4676.96753,,5.6,5.4,0.74,16
Libya,2002,Developing,0,71.1,146,3,0.01,29.13434871,91,3890,54,3,93,4.57,93,0.1,375.442638,,5.6,5.4,0.736,15.8
Libya,2001,Developing,0,71,147,3,0.01,362.3817951,93,633,53.4,3,94,4.6,94,0.1,6269.58123,,5.6,5.5,0.732,15.7
Libya,2000,Developing,0,78,148,3,0.01,457.3202236,92,0,52.8,3,94,3.41,94,0.1,7145.628494,,5.7,5.5,0.727,15.5
Syrian Arab Republic,2015,Developing,1,64.5,293,6,,0,41,45,57.1,8,5,,41,0.1,,18734987,6.3,6.1,0.553,9
Syrian Arab Republic,2014,Developing,1,64.4,294,7,0.01,0,47,594,56.2,8,52,3.25,43,0.1,,19239,6.3,6.1,0.575,9
Syrian Arab Republic,2013,Developing,1,63.6,37,7,0.01,0,71,740,55.2,9,5,3.25,41,0.1,,1989141,6.3,6.1,0.635,13
Syrian Arab Republic,2012,Developing,1,62.8,32,7,0.01,0,43,13,54.2,9,47,3.25,45,0.1,,24271,6.3,6.1,0.645,12.5
Syrian Arab Republic,2011,Developing,0,71.7,163,7,0.76,0,66,13,53.2,8,6,3.23,72,0.1,,2863993,6.3,6.1,0.646,12
Syrian Arab Republic,2010,Developing,0,73.7,127,7,0.78,0,84,26,52.3,9,83,3.28,8,0.1,,2118834,6.4,6.1,0.65,11.7
Syrian Arab Republic,2009,Developing,0,73.8,124,7,0.81,0,84,22,51.3,9,83,3.55,8,0.1,,2824893,6.4,6.2,0.648,11.8
Syrian Arab Republic,2008,Developing,0,73.8,122,8,0.8,0,83,19,5.4,9,83,3.4,79,0.1,,2325443,6.4,6.2,0.651,11.6
Syrian Arab Republic,2007,Developing,0,73.8,121,8,0.83,17.98136184,83,403,49.4,9,83,3.72,8,0.1,258.3529,1963286,6.4,6.2,0.644,11.5
Syrian Arab Republic,2006,Developing,0,73.7,123,8,0.97,122.6523334,83,517,48.5,10,83,3.78,8,0.1,1762.24617,18914977,6.4,6.3,0.636,11.4
Syrian Arab Republic,2005,Developing,0,73.5,127,9,0.92,116.2585943,83,375,47.6,10,83,4.11,8,0.1,1577.457182,18294611,6.5,6.3,0.624,11
Syrian Arab Republic,2004,Developing,0,73.2,131,9,0.93,10.21129783,82,189,46.8,10,84,4.48,81,0.1,148.852738,1786638,6.5,6.3,0.61,10.6
Syrian Arab Republic,2003,Developing,0,73,134,9,1.29,94.75639211,81,801,46,11,85,5.12,83,0.1,1253.39143,17415266,6.6,6.4,0.599,10.3
Syrian Arab Republic,2002,Developing,0,72.8,135,9,1.25,91.70356833,8,538,45.3,11,86,4.94,84,0.1,1263.13455,178791,6.6,6.5,0.596,10.2
Syrian Arab Republic,2001,Developing,0,72.7,135,10,1.29,93.50075111,8,290,44.6,11,83,4.92,82,0.1,1258.421953,16766899,6.7,6.5,0.589,10.1
Syrian Arab Republic,2000,Developing,0,72.6,136,10,1.41,81.7274712,79,146,43.9,12,86,4.92,84,0.1,1177.629268,1641848,6.8,6.6,0.588,10
